Experiment,Trial,Box,Animal,Group,Component Name,Freeze Cnt,Time Freezing,Pct Total Time Freezing,Pct Component Time Freezing,Avg Motion Index,Min Motion Index,Max Motion Index
AGE 10 - TAG A,B,Chamber3,8060,SAA,POST3,15,52.1,11.58,66.79,16.48,0,1165
AGE 10 - TAG A,B,Chamber3,8060,SAA,SHK4,0,0,0,0,743.57,0,2447
AGE 10 - TAG A,B,Chamber3,8060,SAA,POST4,8,48.733,10.83,84.02,12.74,0,917
AGE 10 - TAG A,B,Chamber4,8061,SAA,PRE,1,1.033,0.23,0.69,235.09,0,1608
AGE 10 - TAG A,B,Chamber4,8061,SAA,SHK1,0,0,0,0,1037.48,32,2275
AGE 10 - TAG A,B,Chamber4,8061,SAA,POST1,7,12.367,2.75,15.85,109.26,0,2621
AGE 10 - TAG A,B,Chamber4,8061,SAA,SHK2,0,0,0,0,1092.77,0,2846
AGE 10 - TAG A,B,Chamber4,8061,SAA,POST2,11,59.1,13.13,75.77,15.34,0,499
AGE 10 - TAG A,B,Chamber4,8061,SAA,SHK3,0,0,0,0,878.07,62,2384
AGE 10 - TAG A,B,Chamber4,8061,SAA,POST3,2,55.267,12.28,70.85,31.66,0,1964
AGE 10 - TAG A,B,Chamber4,8061,SAA,SHK4,0,0,0,0,871.23,9,2553
AGE 10 - TAG A,B,Chamber4,8061,SAA,POST4,3,51.1,11.36,88.1,16.14,0,1895
AGE 10 - TAG A,C,Chamber1,8753,SAB,PRE,8,10.267,2.28,6.84,121.22,0,1100
AGE 10 - TAG A,C,Chamber1,8753,SAB,SHK1,0,0,0,0,1608.42,122,4818
AGE 10 - TAG A,C,Chamber1,8753,SAB,POST1,19,42.7,9.49,54.74,50.24,0,3628
AGE 10 - TAG A,C,Chamber1,8753,SAB,SHK2,0,0,0,0,1602.45,0,3917
AGE 10 - TAG A,C,Chamber1,8753,SAB,POST2,14,40.667,9.04,52.14,56.46,0,2566
AGE 10 - TAG A,C,Chamber1,8753,SAB,SHK3,0,0,0,0,1590.25,8,4472
AGE 10 - TAG A,C,Chamber1,8753,SAB,POST3,14,43.333,9.63,55.56,36.88,0,865
AGE 10 - TAG A,C,Chamber1,8753,SAB,SHK4,0,0,0,0,1041.63,0,4809
AGE 10 - TAG A,C,Chamber1,8753,SAB,POST4,3,40.567,9.01,69.94,40.79,0,920
AGE 10 - TAG A,C,Chamber2,8350,SAB,PRE,3,3.8,0.84,2.53,147.56,0,1505
AGE 10 - TAG A,C,Chamber2,8350,SAB,SHK1,0,0,0,0,2116.32,111,5044
AGE 10 - TAG A,C,Chamber2,8350,SAB,POST1,10,18,4,23.08,184.99,0,4093
AGE 10 - TAG A,C,Chamber2,8350,SAB,SHK2,0,0,0,0,2527.57,0,5496
AGE 10 - TAG A,C,Chamber2,8350,SAB,POST2,11,34.2,7.6,43.85,96.35,0,2475
AGE 10 - TAG A,C,Chamber2,8350,SAB,SHK3,0,0,0,0,1521.13,18,3279
AGE 10 - TAG A,C,Chamber2,8350,SAB,POST3,7,34.1,7.58,43.72,73.63,0,2201
AGE 10 - TAG A,C,Chamber2,8350,SAB,SHK4,0,0,0,0,2681.32,0,6366
AGE 10 - TAG A,C,Chamber2,8350,SAB,POST4,4,48.167,10.7,83.05,22.61,0,2502
AGE 10 - TAG A,C,Chamber3,8284,SAB,PRE,3,3.5,0.78,2.33,148.88,0,1116
AGE 10 - TAG A,C,Chamber3,8284,SAB,SHK1,0,0,0,0,1073.63,0,3159
AGE 10 - TAG A,C,Chamber3,8284,SAB,POST1,7,15.733,3.5,20.17,82.9,0,746
AGE 10 - TAG A,C,Chamber3,8284,SAB,SHK2,0,0,0,0,980.63,5,3467
AGE 10 - TAG A,C,Chamber3,8284,SAB,POST2,4,36.667,8.15,47.01,23.36,0,1272
AGE 10 - TAG A,C,Chamber3,8284,SAB,SHK3,0,0,0,0,893.05,2,2635
AGE 10 - TAG A,C,Chamber3,8284,SAB,POST3,8,64.233,14.27,82.35,5.6,0,456
AGE 10 - TAG A,C,Chamber3,8284,SAB,SHK4,0,0,0,0,966.07,0,2193
AGE 10 - TAG A,C,Chamber3,8284,SAB,POST4,4,55.167,12.26,95.11,3.32,0,599
AGE 10 - TAG A,C,Chamber4,9266,SAB,PRE,0,0,0,0,183.33,0,2307
AGE 10 - TAG A,C,Chamber4,9266,SAB,SHK1,0,0,0,0,804.32,10,2013
AGE 10 - TAG A,C,Chamber4,9266,SAB,POST1,0,0,0,0,124.5,0,2983
AGE 10 - TAG A,C,Chamber4,9266,SAB,SHK2,0,0,0,0,693.43,181,1939
AGE 10 - TAG A,C,Chamber4,9266,SAB,POST2,2,2.533,0.56,3.25,126.42,0,782
AGE 10 - TAG A,C,Chamber4,9266,SAB,SHK3,0,0,0,0,678.08,110,1609
AGE 10 - TAG A,C,Chamber4,9266,SAB,POST3,17,29.633,6.59,37.99,44.94,0,742
AGE 10 - TAG A,C,Chamber4,9266,SAB,SHK4,0,0,0,0,672.52,0,1388
AGE 10 - TAG A,C,Chamber4,9266,SAB,POST4,12,39.433,8.76,67.99,24.25,0,1468
AGE 10 - TAG A,D,Chamber1,8351,SAB,PRE,11,14.333,3.19,9.56,143.41,0,1297
AGE 10 - TAG A,D,Chamber1,8351,SAB,SHK1,0,0,0,0,1865.3,101,5722
AGE 10 - TAG A,D,Chamber1,8351,SAB,POST1,10,20.367,4.53,26.11,81.52,0,713
AGE 10 - TAG A,D,Chamber1,8351,SAB,SHK2,0,0,0,0,1366.62,234,4933
AGE 10 - TAG A,D,Chamber1,8351,SAB,POST2,6,61.367,13.64,78.68,25.97,0,1049
AGE 10 - TAG A,D,Chamber1,8351,SAB,SHK3,0,0,0,0,1204.8,4,3029
AGE 10 - TAG A,D,Chamber1,8351,SAB,POST3,6,63.9,14.2,81.92,22.81,0,3355
AGE 10 - TAG A,D,Chamber1,8351,SAB,SHK4,0,0,0,0,1013.77,0,3411
AGE 10 - TAG A,D,Chamber1,8351,SAB,POST4,5,47.867,10.64,82.53,20.47,0,4658
AGE 10 - TAG A,D,Chamber2,8352,SAB,PRE,0,0,0,0,311.25,0,2407
AGE 10 - TAG A,D,Chamber2,8352,SAB,SHK1,0,0,0,0,2380.13,164,5219
AGE 10 - TAG A,D,Chamber2,8352,SAB,POST1,0,0,0,0,161.14,0,4711
AGE 10 - TAG A,D,Chamber2,8352,SAB,SHK2,0,0,0,0,1599.6,148,3223
AGE 10 - TAG A,D,Chamber2,8352,SAB,POST2,7,36.767,8.17,47.14,44.98,0,2442
AGE 10 - TAG A,D,Chamber2,8352,SAB,SHK3,0,0,0,0,1482.93,0,5233
AGE 10 - TAG A,D,Chamber2,8352,SAB,POST3,11,56.267,12.5,72.14,19.86,0,1897
AGE 10 - TAG A,D,Chamber2,8352,SAB,SHK4,0,0,0,0,1684.02,135,4092
AGE 10 - TAG A,D,Chamber2,8352,SAB,POST4,8,37.5,8.33,64.66,44.23,0,6502
AGE 10 - TAG A,D,Chamber3,9275,SAB,PRE,1,1.333,0.3,0.89,175.66,0,1110
AGE 10 - TAG A,D,Chamber3,9275,SAB,SHK1,0,0,0,0,636.87,30,2255
AGE 10 - TAG A,D,Chamber3,9275,SAB,POST1,0,0,0,0,105.09,0,639
AGE 10 - TAG A,D,Chamber3,9275,SAB,SHK2,0,0,0,0,583.08,3,2390
AGE 10 - TAG A,D,Chamber3,9275,SAB,POST2,4,5.067,1.13,6.5,49.32,0,392
AGE 10 - TAG A,D,Chamber3,9275,SAB,SHK3,0,0,0,0,633.2,19,2256
AGE 10 - TAG A,D,Chamber3,9275,SAB,POST3,10,18.5,4.11,23.72,36.72,0,577
AGE 10 - TAG A,D,Chamber3,9275,SAB,SHK4,0,0,0,0,745.92,51,3299
AGE 10 - TAG A,D,Chamber3,9275,SAB,POST4,8,24.433,5.43,42.13,34.33,0,2955
AGE 10 - TAG A,D,Chamber4,9276,SAB,PRE,0,0,0,0,243.2,0,1449
AGE 10 - TAG A,D,Chamber4,9276,SAB,SHK1,0,0,0,0,1269.92,251,3636
AGE 10 - TAG A,D,Chamber4,9276,SAB,POST1,4,6.133,1.36,7.86,130.74,0,820
AGE 10 - TAG A,D,Chamber4,9276,SAB,SHK2,0,0,0,0,785.18,74,2442
AGE 10 - TAG A,D,Chamber4,9276,SAB,POST2,17,30.967,6.88,39.7,43.29,0,2270
AGE 10 - TAG A,D,Chamber4,9276,SAB,SHK3,0,0,0,0,1062.77,0,2829
AGE 10 - TAG A,D,Chamber4,9276,SAB,POST3,16,48.633,10.81,62.35,58.18,0,3736
AGE 10 - TAG A,D,Chamber4,9276,SAB,SHK4,0,0,0,0,1061.12,0,3061
AGE 10 - TAG A,D,Chamber4,9276,SAB,POST4,13,44.267,9.84,76.32,17.48,0,867
AGE 10 - TAG A,F,Chamber1,9222,CAA,PRE,0,0,0,0,295.28,0,2099
AGE 10 - TAG A,F,Chamber1,9222,CAA,SHK1,0,0,0,0,419.82,23,1078
AGE 10 - TAG A,F,Chamber1,9222,CAA,POST1,0,0,0,0,262.88,0,1601
AGE 10 - TAG A,F,Chamber1,9222,CAA,SHK2,0,0,0,0,415.28,103,899
AGE 10 - TAG A,F,Chamber1,9222,CAA,POST2,1,3.7,0.82,4.74,212.13,0,1537
AGE 10 - TAG A,F,Chamber1,9222,CAA,SHK3,0,0,0,0,30.05,0,106
