SubROI,MajorROI,System,ROIAreapx,nonzeropixels,Ch1m05sd,Ch1m05sdm05sd,Ch1m05sd1,Ch1Total,Ch2m05sd,Ch2m05sdm05sd,Ch2m05sd1,Ch2Total,Ch3m05sd,Ch3m05sdm05sd,Ch3m05sd1,Ch3Total,Ch4m05sd,Ch4m05sdm05sd,Ch4m05sd1,Ch4Total,OLm05sd,OLm05sdm05sd,OLm05sd1,OLTotal,fseq,CountPerROI
PAG,PAG,MIDBRAIN,1501874.56521739,41.655222826087,829.091666666667,966.927173913044,789.075,2585.09384057971,80.0688405797101,3277.55688405797,119.515217391304,3477.14094202899,1064.19855072464,1328.79637681159,558.399275362319,2951.39420289855,1232.61884057971,1311.73152173913,488.683333333333,3033.03369565218,43.2836956521739,621.98768115942,40.5840579710145,705.855434782609,267.914130434783,46
PALd,PALd,STRIATUM,2925187.50909091,109.333744474026,1656.45285714286,1893.11233766234,1223.40571428571,4772.97090909091,207.279090909091,5173.8961038961,284.905541125541,5666.08073593074,2113.43181818182,3127.39913419913,1262.22207792208,6503.05303030303,3619.91965367965,2553.06329004329,648.427099567099,6821.41004329004,177.343203463203,1081.979004329,123.726233766234,1383.04844155844,421.386883116883,55
PALm,PALm,STRIATUM,1718602.2,NaN,894.665714285714,1066.17982683983,835.205887445888,2796.05142857143,70.0117316017316,3260.36692640693,61.7058874458875,3392.08454545455,983.655151515152,1161.16523809524,439.10987012987,2583.93025974026,969.923593073593,976.470173160173,486.375281385281,2432.76904761905,69.178961038961,479.440606060606,28.6118614718615,577.231428571428,243.909350649351,55
PALv,PALv,STRIATUM,4320584.6,148.341218683983,2165.6112987013,2718.61270562771,2001.92417748918,6886.14818181818,258.987012987013,8525.0953030303,194.942164502165,8979.02448051948,2827.92337662338,3453.0341991342,951.179025974026,7232.1366017316,3016.56575757576,2499.29017316017,880.488701298701,6396.34463203463,183.182900432901,1158.66261904762,75.9366017316017,1417.78212121212,563.928896103896,55
PAN,PAN,CORTICO-AMY,440607.111111111,25.916536,260.014444444444,298.88037037037,241.405185185185,800.3,23.0240740740741,589.002592592593,24.4788888888889,636.505555555556,283.075925925926,315.53037037037,134.918888888889,733.525185185185,282.918148148148,204.057777777778,119.611111111111,606.587037037037,11.3837037037037,107.75037037037,10.0355555555556,129.16962962963,213.398888888889,45
PERI,PERI,TEMP ASSOC CTX,1075302.80769231,75.0370912419872,530.011858974359,688.352884615385,495.100641025641,1713.46538461538,81.7836538461538,1564.75384615385,45.2349358974359,1691.77243589744,761.933012820513,742.769871794872,202.095512820513,1706.7983974359,446.386858974359,483.744551282051,349.239743589744,1279.37115384615,29.9913461538461,180.215064102564,10.5647435897436,220.771153846154,573.159615384615,52
PH,PH,HYPOTHAL,3539267.23636364,NaN,1806.83233766234,2327.52186147186,2036.44528138528,6170.79948051948,138.10316017316,5665.16069264069,99.6336796536796,5902.89753246753,1915.31173160173,2487.71471861472,1054.06913419913,5457.09558441559,1816.34082251082,1779.04653679654,961.39316017316,4556.78051948052,150.357272727273,973.88658008658,50.3118181818182,1174.55567099567,682.865974025974,55
PIR,PIR,OLFACTORY,15583589.0545455,175.944785518182,6315.32662337662,8486.75266233766,6139.99333333333,20942.0726190476,905.028831168831,24650.6893290043,662.748051948052,26218.4662121212,9387.48547619047,10748.8356060606,2418.81701298701,22555.1380952381,5946.58906926407,6371.3287012987,4640.94283549784,16958.8606060606,493.373484848485,3131.17586580087,194.713138528139,3819.26248917749,1001.98409090909,55
PP,PP,THALAMIC,61942.9166666667,18.5472253472222,38.8888888888889,38.40625,22.8229166666667,100.118055555556,5.41666666666667,137.798611111111,7.92013888888889,151.135416666667,67.1076388888889,62.2673611111111,12.3159722222222,141.690972222222,77.7222222222222,65.9340277777778,11.7291666666667,155.385416666667,1.6875,28.9548611111111,2.82638888888889,33.46875,110.25,24
PTLp,PTLp,POST ASSOC CTX,3131990.79591837,37.1711484013605,1495.15544217687,1706.37755102041,1450.34047619048,4651.87346938775,115.610544217687,5787.79829931973,333.424149659864,6236.83299319728,1521.83537414966,1493.47346938776,447.242517006803,3462.55136054422,1473.97380952381,1447.47482993197,1023.75068027211,3945.19931972789,58.9513605442177,568.639455782313,72.2336734693878,699.824489795918,333.815306122449,49
PrL,PrL,PFC,1461397.16326531,52.6853821574344,513.892055393586,629.093537414966,484.312682215743,1627.2982750243,160.261904761905,2831.76285228377,48.3285714285714,3040.35332847425,909.037900874636,1190.27242468416,209.764844509232,2309.07517006803,671.532798833819,716.16926627794,400.789771622935,1788.49183673469,50.5743197278912,322.287317784257,14.2214771622935,387.083114674441,117.123688046647,49
RSCla,RSC,POST ASSOC CTX,1193507.5952381,26.5888622619048,543.613492063492,721.515079365079,582.687301587302,1847.81587301587,85.5773809523809,2306.14285714286,96.5892857142857,2488.30952380952,725.562301587301,1048.71587301587,543.96746031746,2318.24563492063,555.305952380952,551.756349206349,273.590873015873,1380.65317460317,14.7392857142857,190.411111111111,15.5392857142857,220.689682539683,204.932142857143,42
RSPd,RSC,POST ASSOC CTX,1471556.64150943,85.2404397798742,738.43679245283,897.66320754717,874.195911949685,2510.29591194969,91.8864779874214,3346.02106918239,200.072641509434,3637.98018867924,691.670440251572,698.253459119497,223.943396226415,1613.86729559748,590.117610062893,672.065094339623,531.919182389937,1794.10188679245,27.9465408805032,363.822955974843,45.4062893081761,437.175786163522,597.557547169811,53
RSPv,RSC,POST ASSOC CTX,2299555.90566038,96.501678163522,1255.59905660377,1551.79402515723,1471.91100628931,4279.30408805031,180.218553459119,4727.74937106918,284.658490566038,5192.62641509434,1289.60566037736,1546.08993710692,742.124528301887,3577.82012578616,1498.33050314465,1154.48333333333,670.818238993711,3323.6320754717,49.3081761006289,508.973899371069,59.0147798742138,617.296855345912,597.557547169811,53
RT,RT,THALAMIC,2171422.56363636,101.949003469697,1009.22757575758,1164.06333333333,814.60696969697,2987.89787878788,163.90696969697,4543.90090909091,340.364545454545,5048.17242424242,1566.36909090909,1899.94454545455,535.98303030303,4002.29666666667,1907.67818181818,1706.59121212121,740.459090909091,4354.72848484848,116.496363636364,877.892121212121,126.309393939394,1120.69787878788,457.486363636364,55
SH,SH,STRIATUM,78664.1315789474,11.943289254386,48.0416666666667,58.9517543859649,38.6973684210526,145.690789473684,7.02631578947368,106.239035087719,2.33552631578947,115.600877192982,53.8377192982456,68.1929824561404,46.109649122807,168.140350877193,53.1008771929825,26.2236842105263,12.2697368421053,91.594298245614,3.49122807017544,5.06798245614035,0.289473684210526,8.84868421052632,32.8355263157895,38
SP,SP,THALAMIC,610214.622222222,34.8488864814815,253.09,272.367407407407,198.033703703704,723.491111111111,23.6592592592593,1430.79518518519,110.203703703704,1564.65814814815,461.03037037037,411.072592592593,76.3707407407408,948.473703703704,457.717037037037,426.393703703704,138.466296296296,1022.57703703704,23.1755555555556,240.72037037037,32.3081481481481,296.204074074074,224.91,45
SSp,SCtx,SOMAT CTX,34540473.5454545,148.916041571429,13002.4632683983,15490.3942640693,13328.3552164502,41821.2127489177,2196.84606060606,57711.1925974026,4819.72712121212,64727.7657792208,14479.6987445887,15751.5437878788,4795.77932900433,35027.0218614719,15236.2374025974,13924.6816233766,8981.3112987013,38142.2303246753,778.237272727273,5572.3824025974,999.614696969697,7350.23437229437,780.300714285714,55
SSs,SCtx,SOMAT CTX,6621112.50909091,93.6735746969697,2509.41311688312,3031.29857142857,2543.03121212121,8083.7429004329,428.284891774892,11591.7134199134,1037.57367965368,13057.571991342,2875.93181818182,3304.41077922078,774.881861471862,6955.22445887446,2660.62056277056,2871.08761904762,1796.09138528139,7327.79956709957,143.091168831169,1162.69251082251,212.468658008658,1518.25233766234,454.795064935065,55
