SubROI,MajorROI,System,ROIAreapx,nonzeropixels,Ch1m05sd,Ch1m05sdm05sd,Ch1m05sd1,Ch1Total,Ch2m05sd,Ch2m05sdm05sd,Ch2m05sd1,Ch2Total,Ch3m05sd,Ch3m05sdm05sd,Ch3m05sd1,Ch3Total,Ch4m05sd,Ch4m05sdm05sd,Ch4m05sd1,Ch4Total,OLm05sd,OLm05sdm05sd,OLm05sd1,OLTotal,fseq,CountPerROI
LH,LH,HYPOTHAL,7814180.58,NaN,7126.23955555556,7896.44947619048,4963.4321031746,19986.1211349206,17.7989523809524,9.53704761904762,2.49583333333333,29.8318333333333,9672.0465952381,11795.4900396825,3165.12454761905,24632.6611825397,903.094111111111,1323.91900793651,301.667825396825,2528.68094444444,1.70455555555556,1.44338888888889,0.458666666666667,3.60661111111111,630.340547619048,50
LSC,LSC,STRIATUM,2151782.56,65.4716846036508,1524.37607142857,1796.10276190476,1174.6961031746,4495.17493650794,5.42046825396825,3.19459523809524,1.80343650793651,10.4185,1679.93149206349,2491.96454761905,1385.23115873016,5557.1271984127,193.857063492063,280.660825396825,139.206285714286,613.724174603174,0.127015873015873,0.152,0.166111111111111,0.445126984126984,292.606547619048,50
MA,MA,CORTICO-AMY,1764559.71111111,52.7891552962963,1652.43148148148,1833.83185185185,1172.23074074074,4658.49407407407,9.21592592592592,5.42333333333333,1.61925925925926,16.2585185185185,1981.01296296296,2636.87851851852,1054.52222222222,5672.4137037037,175.685185185185,263.100370370371,90.1796296296296,528.965185185185,0.445925925925926,0.497407407407407,0.324814814814815,1.26814814814815,358.763333333333,45
MBm,MBm,MIDBRAIN,9622958.4893617,45.5229653698961,9065.53870981265,9951.80408013972,6785.00193010299,25802.3447200554,73.5602804996422,46.5554105468999,19.882802894505,139.998493941047,13249.1078258621,13717.363754685,4975.37471458801,31941.8462951351,1025.94890723933,1409.30195265727,401.448837391923,2836.69969728853,4.72744330137947,4.21451037142527,2.01082623050708,10.9527799033118,301.12745800299,47
MBs,MBs,MIDBRAIN,1213639.93478261,37.596337496308,1026.27439800538,1250.92299602571,1051.77891190935,3328.97630594044,18.0777912305086,16.8047380759337,13.3740604805822,48.2565897870246,1279.01185179555,1697.42691855246,1041.24052312422,4017.67929347223,91.3786056938231,134.260320838582,82.8773939225026,308.516320454907,0.935611429633169,1.58754844189627,0.852821152277674,3.37598102380711,225.271533176968,46
MED,MED,THALAMIC,1586772.64,81.7512377685093,1329.2018046398,1366.07496880897,883.105488788989,3578.38226223776,5.31312953712954,2.19723831723832,0.385564213564214,7.89593206793206,1764.3350962926,1935.80411433011,616.28623981574,4316.42545043845,207.785368853369,281.727845265845,77.4948189033189,567.008033022533,0.369697913197913,0.341070929070929,0.144,0.854768842268842,558.296810522811,50
MGN,MGN,THALAMIC,563189.365853659,32.142833699187,540.506097560976,550.032520325203,349.958943089431,1440.49756097561,14.5178861788618,6.69024390243902,1.45813008130081,22.6662601626016,845.663008130081,889.839024390244,360.85162601626,2096.35365853659,58.6857723577236,87.259756097561,18.7353658536585,164.680894308943,0.968292682926829,0.728861788617886,0.0772357723577236,1.77439024390244,186.182926829268,41
MH,MH,HYPOTHAL,2952132.62,NaN,2462.18592063492,3173.88229365079,2515.76163492064,8151.82984920635,1.71024603174603,0.63315873015873,0.0658333333333333,2.40923809523809,3035.9433015873,3880.87869047619,1379.86618253968,8296.68817460318,402.66273015873,553.727079365079,175.124698412698,1131.51450793651,0.0777777777777778,0.230666666666667,0.0633333333333333,0.371777777777778,629.780547619048,50
MOB,MOB,OLFACTORY,228793,9.41325,144.666666666667,217.333333333333,191.5,553.5,1.33333333333333,0.333333333333333,0.111111111111111,1.77777777777778,121,275.055555555556,80.5,476.555555555556,14.3888888888889,17.3333333333333,6.72222222222222,38.4444444444444,0,0,0,0,44.1666666666667,9
MTN,MTN,THALAMIC,2088411.16,76.9007761190476,1532.79232539682,1729.63466666667,1169.58641269841,4432.0134047619,2.25187301587302,0.850293650793651,0.166857142857143,3.26902380952381,1781.7396031746,2287.12704761905,897.278071428571,4966.14472222222,221.565285714286,343.524515873016,124.033626984127,689.123428571429,0.163436507936508,0.12265873015873,0.0973333333333333,0.383428571428571,490.816547619048,50
MoP,Mo,MOTOR CTX,9179452.2745098,115.045228430594,6074.19796140678,7175.85458294429,5358.42640056023,18608.4789449113,288.006489262372,326.307142857143,416.307975412387,1030.6216075319,8302.90650482415,10434.2289915966,2185.82380174292,20922.9592981637,1500.5873015873,2336.30202303144,1638.43046996576,5475.3197945845,59.576509492686,107.031255835668,69.8706037970744,236.478369125428,600.516643323997,51
MoS,Mo,MOTOR CTX,6357091.98039216,104.962169789138,4119.0035480859,4945.21638655462,3811.71168689698,12875.9316215375,110.826377217554,115.830189853719,151.734656084656,378.391223155929,5733.03168378463,6905.12478991597,1138.47871148459,13776.6351851852,956.431022408964,1527.24374416433,1232.55589013383,3716.23065670713,23.2501945222533,42.6307111733582,32.6958994708995,98.5768051665111,569.248996265173,51
NLOT,NLOT,OLFACTORY,432366.18,25.9433189734921,299.926936507936,359.702746031746,278.161944444444,937.791626984127,0.333222222222222,0.261055555555556,0.1325,0.726777777777778,417.692547619048,509.222214285714,104.634492063492,1031.54925396825,39.8099444444444,58.9124841269841,25.7707698412698,124.493198412698,0.0742777777777778,0.0836666666666667,0.098,0.255944444444444,158.909547619048,50
OC,OC,PFC,2861927.77272727,29.5992001749639,2658.2757034632,2936.94597763348,1885.02644300144,7480.24812409812,36.5745490620491,33.0295274170274,38.8218073593074,108.425883838384,3216.0744047619,5362.65820707071,1220.63407287157,9799.36668470418,546.134163059163,780.071176046176,413.206691919192,1739.41203102453,6.67898629148629,13.9284090909091,9.38728354978355,29.9946789321789,82.7652597402597,44
ON,ON,OLFACTORY,2645378.79545455,26.2014062680375,2264.41121933622,2552.92703823954,1665.5248015873,6482.86305916306,7.1224025974026,5.41116522366522,3.75479797979798,16.2883658008658,2729.48176406926,4617.29893578644,1137.39437229437,8484.17507215007,459.518001443002,698.254040404041,405.590836940837,1563.36287878788,1.02007575757576,1.9989898989899,1.02462121212121,4.04368686868687,82.7652597402597,44
OTub,OTub,OLFACTORY,1536212.27659574,NaN,953.122391084093,1061.94579533941,718.326021614319,2733.39420803782,2.12245862884161,1.15780141843972,0.792198581560284,4.07245862884161,1127.60857818305,1438.60626477541,395.61170212766,2961.82654508612,143.931340763256,211.305048969943,122.634025667004,477.870415400203,0.276595744680851,0.454964539007092,0.567139479905437,1.29869976359338,130.461094224924,47
PAG,PAG,MIDBRAIN,1717798.46808511,42.1183394300203,1468.94223867149,1660.01451474058,1174.99343753174,4303.95019094381,3.68505519303392,1.5504029658285,0.402085444106721,5.63754360296914,1991.74496089017,2069.77924156222,916.3355385749,4977.85974102729,194.71463660453,240.525311331694,61.7279074353543,496.967855371579,0.336516379601486,0.217796978435276,0.0398774983881367,0.594190856424899,290.148734598735,47
PALd,PALd,STRIATUM,3380042.74,85.3345618873016,3329.30334920635,3497.6833968254,1937.55538888889,8764.54213492064,32.6222936507937,18.9266984126984,7.20483333333333,58.7538253968254,3796.52876984127,5325.40638888889,1804.46958730159,10926.4047460317,232.180523809524,339.378793650794,80.3008968253968,651.860214285714,1.95181746031746,2.59077777777778,0.869301587301587,5.41189682539683,414.750547619048,50
PALm,PALm,STRIATUM,749197.5625,NaN,539.498148148148,628.00162037037,418.779282407407,1586.27905092593,0.760474537037037,0.390798611111111,0.0864583333333333,1.23773148148148,580.561053240741,837.612326388889,333.007002314815,1751.18038194444,69.2615740740741,104.43912037037,45.0126157407407,218.713310185185,0.0277777777777778,0.0613425925925926,0.03125,0.12037037037037,185.0234375,48
PALv,PALv,STRIATUM,3343256.82,NaN,2843.33134920635,3263.38534126984,2067.89546825397,8174.61215873016,10.6220079365079,6.73720634920635,3.45138888888889,20.8106031746032,3745.28140476191,4824.20655555556,1394.24769047619,9963.73565079365,301.81923015873,411.366936507936,124.700865079365,837.887031746032,0.724436507936508,1.082,0.697746031746032,2.50418253968254,485.153547619048,50
PAN,PAN,CORTICO-AMY,361178.459459459,23.5984293693694,341.125225225225,396.727027027027,251.012612612613,988.864864864865,2.5009009009009,2.13063063063063,1.03153153153153,5.66306306306306,442.009009009009,492.835135135135,163.482882882883,1098.32702702703,41.4009009009009,62.1612612612613,19.1144144144144,122.676576576577,0.0945945945945946,0.121621621621622,0.027027027027027,0.243243243243243,177.589189189189,37
PERI,PERI,TEMP ASSOC CTX,935141.208333333,71.8581930567205,736.248346329596,905.099594444907,614.72983937359,2256.07778014809,5.54458816646317,4.65134755291005,3.51658422595923,13.7125199453324,1315.85558214933,1259.70099108068,270.367978202353,2845.92455143236,120.31151747558,204.127770782458,136.116801312114,460.556089570152,0.707355260480261,1.07875330687831,0.529340277777778,2.31544884513634,518.241469294594,48
PH,PH,HYPOTHAL,2846179.16,NaN,1897.63956349206,2397.10192857143,1947.68553968254,6242.42703174603,0.587253968253968,0.140238095238095,0.0341666666666667,0.76165873015873,2221.82756349206,2879.47380952381,1190.74605555556,6292.04742857143,257.856841269841,353.924182539683,116.537992063492,728.319015873016,0.0941666666666667,0.0683333333333333,0,0.1625,564.850547619048,50
PIR,PIR,OLFACTORY,12496676.2156863,126.616872103601,8594.18666453373,10643.4496746717,7182.01615252939,26419.6524917348,59.8129785247432,54.9188992924287,44.6604964207905,159.392374237962,13618.0950293171,16218.9155544891,3676.86172596467,33513.8723097708,1458.28339971575,2392.14059372001,1409.0505616388,5259.47455507455,6.79327611386435,11.0260893246187,6.9818549642079,24.801220402691,869.622339914987,51
PP,PP,THALAMIC,94044.2051282051,23.2028998290598,95.1803418803419,97.2649572649573,57.0534188034188,249.498717948718,1.29145299145299,1.02307692307692,0.192307692307692,2.50683760683761,143.080769230769,167.067094017094,70.8897435897436,381.037606837607,8.50213675213675,12.9666666666667,2.23846153846154,23.707264957265,0.104700854700855,0.0555555555555556,0.00641025641025641,0.166666666666667,135.791025641026,39
PTLp,PTLp,POST ASSOC CTX,2260248.29166667,40.7741214902979,1806.88242781524,2077.66469132719,1458.81139664733,5343.35851578977,40.2118361383986,34.6929311429312,30.7639883843009,105.668755665631,2421.15304180773,1921.72467567155,388.226127576128,4731.10384505541,315.808546314796,537.109785584786,450.337283434158,1303.25561533374,6.44529978123728,9.83153767528768,7.77433162901913,24.0511690855441,337.301885961261,48
PrL,PrL,PFC,1168293.09090909,38.321823474026,840.06829004329,970.579996392496,691.744769119769,2502.39305555556,5.28277417027417,2.93912337662338,1.99431818181818,10.2162157287157,1290.47157287157,1807.02494588745,344.135696248196,3441.63221500722,187.06737012987,282.040187590188,202.662644300144,671.770202020202,0.984722222222222,2.05413059163059,1.33939393939394,4.37824675324675,107.939123376623,44
RSCla,RSC,POST ASSOC CTX,1498736.76086957,34.4096401502845,1332.6682614487,1593.19284845589,1174.66415981362,4100.5252697182,18.2132155284329,17.4669620838099,13.6689203308769,49.3490979431197,1847.01925851926,2018.21174447533,797.596547896548,4662.82755089114,157.918150086628,249.926695466369,161.049669231734,568.894514784732,2.00179856375509,2.7324548639766,1.95078846274498,6.68504189047667,246.793272307403,46
RSPd,RSC,POST ASSOC CTX,1374240.95833333,70.1672302351757,1069.39207649989,1313.78665073353,1125.38524132118,3508.56396855459,11.9224839396714,8.8583981990232,3.98426723739224,24.7651493760869,1469.45016800329,1176.5367224211,261.145943003755,2907.13283342815,162.277382802383,285.647933547934,245.164047989048,693.089364339364,2.51333371489622,3.73368882275132,2.55849740537241,8.80551994301994,528.241469294594,48
RSPv,RSC,POST ASSOC CTX,2871469.97916667,80.5095179071508,2465.22658441096,3011.96824286824,2572.41067994506,8049.60550722426,27.5360250282125,27.3287896709772,21.9545202482703,76.81933494746,3337.9871542809,3432.75583600427,1545.69587391775,8316.43886420293,302.993881697007,529.892951608577,389.883266155141,1222.77009946072,3.31900258306508,5.15288854663855,3.18150258306508,11.6533937127687,528.241469294594,48
RT,RT,THALAMIC,1921947.57446809,68.525184822695,1859.67446808511,1824.41028368794,986.732624113475,4670.81737588653,24.8404255319149,13.7492907801418,4.31170212765957,42.9014184397163,2332.9829787234,2801.00460992908,777.589716312057,5911.57730496454,155.251063829787,233.667375886525,58.3936170212766,447.312056737589,1.23475177304965,1.19326241134752,0.389716312056738,2.8177304964539,392.302127659574,47
SH,SH,STRIATUM,76682.8571428571,11.8917178571429,37.3214285714286,49.9285714285714,32.3928571428571,119.642857142857,0,0,0,0,32.3928571428571,75.4642857142857,53.2857142857143,161.142857142857,6.96428571428571,11.9285714285714,10.5357142857143,29.4285714285714,0,0,0,0,39.2142857142857,14
SP,SP,THALAMIC,569426.545454545,34.1274632954546,486.607575757576,480.757575757576,262.386742424242,1229.75189393939,13.0159090909091,7.28598484848485,1.97916666666667,22.2810606060606,775.321590909091,738.495075757576,190.6625,1704.47916666667,63.3386363636364,72.6564393939394,9.76780303030303,145.762878787879,0.616287878787879,0.607954545454545,0.053030303030303,1.27727272727273,225.05,44
