"","ID","EXPT","VALENCE","CONTEXT","SubROI_SubroiAGGR","GROUP","System","Ch1TotalperMM2","Ch2TotalperMM2","Ch3TotalperMM2","Ch4TotalperMM2","OLTotalperMM2","NormOLTotalperMM2"
"43",3422,"OLD","SHOCK","AA","AI","SAA","TEMP ASSOC CTX",74.7393569561255,1938.74963476189,977.397913226235,406.914276761128,162.337097904703,0.074353091297253
"44",3422,"OLD","SHOCK","AA","ATN","SAA","THALAMIC",75.0806874620227,2293.78325713521,1428.99024791355,951.613585995927,367.349327200551,0.127638381634492
"45",3422,"OLD","SHOCK","AA","AuD","SAA","AUD CTX",78.0691479195322,1303.51819708067,765.462081021626,586.553617039364,103.944338991347,0.0581953642384108
"46",3422,"OLD","SHOCK","AA","AuP","SAA","AUD CTX",76.5830664631124,1363.93271171146,773.111906943407,502.275697363333,88.5451074047191,0.0498098303101229
"47",3422,"OLD","SHOCK","AA","AuV","SAA","AUD CTX",76.0296361662468,1709.06251866549,905.380438016407,471.523248150301,103.093396563039,0.0496239591727099
"48",3422,"OLD","SHOCK","AA","bAmy","SAA","NUCLEAR AMY",155.599686422555,2003.60206058038,1178.4816167097,491.384456706572,196.251856749168,0.0853738624636457
"49",3422,"OLD","SHOCK","AA","BNST","SAA","STRIATUM",83.3953547246485,1064.86581091608,1583.29837702471,781.172267899212,170.570801073638,0.1018049133753
"50",3422,"OLD","SHOCK","AA","CA1","SAA","SUBIC-HPC",185.895072798479,3864.39835157461,2903.24363694095,649.185474816141,146.818513378037,0.0336218007733381
"51",3422,"OLD","SHOCK","AA","CA2","SAA","SUBIC-HPC",14.7790732791559,2372.65705602449,1668.18789638472,245.702093265967,80.6691083153926,0.0317884008735743
"52",3422,"OLD","SHOCK","AA","CA3","SAA","SUBIC-HPC",554.171070054619,2327.72199978645,3141.99860995163,2172.0402486396,251.074981016254,0.059094719195306
"53",3422,"OLD","SHOCK","AA","CeA","SAA","NUCLEAR AMY",22.2178920870988,2411.67468177985,1745.91296191411,682.812660304675,296.32467702212,0.105899732250023
"54",3422,"OLD","SHOCK","AA","CLA","SAA","CORTICO-AMY",50.5036954011461,1891.97762690618,1172.36821567688,482.378539317974,174.44249384504,0.0792951541850221
"55",3422,"OLD","SHOCK","AA","COA","SAA","OLFACTORY",198.706402900876,1599.49390633438,1174.98477286433,444.426092268976,164.893891451543,0.0877549762741113
"56",3422,"OLD","SHOCK","AA","Cpu","SAA","STRIATUM",205.170656195828,1829.69151134771,1246.56948671919,713.259411764981,145.445647713945,0.0606654130050892
"57",3422,"OLD","SHOCK","AA","dACC","SAA","PFC",109.617497597315,1667.74328236298,916.316748410093,557.81064474806,169.449204971926,0.0824127308047013
"58",3422,"OLD","SHOCK","AA","DG","SAA","SUBIC-HPC",470.429084081088,3663.84694713097,2977.96027459731,866.636099277645,156.453713547967,0.0357687847158641
"59",3422,"OLD","SHOCK","AA","DP","SAA","OLFACTORY",90.9965119750876,2026.18899997862,1255.75186525621,279.055970056935,127.395116765123,0.0584958217270196
"60",3422,"OLD","SHOCK","AA","ECT","SAA","TEMP ASSOC CTX",108.122835780645,1991.95532072803,1102.02121084118,538.534893599749,163.966498216802,0.0692858039412578
"61",3422,"OLD","SHOCK","AA","ENT","SAA","TEMP ASSOC CTX",113.363777438176,1063.19569441461,1394.45020666157,630.19151110398,129.270053559791,0.0826472962066183
"62",3422,"OLD","SHOCK","AA","EP","SAA","OLFACTORY",62.1465291087053,1960.37341915341,1281.61679654427,604.025421355922,186.905686294431,0.0786146054566249
"63",3422,"OLD","SHOCK","AA","EPI","SAA","THALAMIC",170.358148060792,2184.0408373127,1436.44015277926,844.877656034826,236.032448617561,0.0845120226308346
"64",3422,"OLD","SHOCK","AA","Gus","SAA","VISC CTX",88.6537334670454,1405.62882041825,806.271448585302,373.217684497332,117.180719364872,0.0705200289876799
"65",3422,"OLD","SHOCK","AA","HY","SAA","HYPOTHAL",165.990461962185,1845.99750902571,1254.75344533097,613.027079925763,217.894800340547,0.0972254268574067
"66",3422,"OLD","SHOCK","AA","IA","SAA","CORTICO-AMY",11.803771533526,2236.81470560317,1327.92429752167,419.033889440172,123.939601102023,0.0489510489510491
"67",3422,"OLD","SHOCK","AA","ILM","SAA","THALAMIC",18.4892731925231,2187.96431790216,992.592611933385,440.728001208729,247.39451413039,0.103890623681323
"68",3422,"OLD","SHOCK","AA","InfL","SAA","PFC",62.9372511061945,1918.44480962561,1216.67815480421,613.393623475398,160.767175105461,0.0678036033557971
"69",3422,"OLD","SHOCK","AA","LA","SAA","NUCLEAR AMY",15.1565282917441,2264.99158791824,871.803507341123,224.922879849483,71.5388135370324,0.0295813487089497
"70",3422,"OLD","SHOCK","AA","LAT","SAA","THALAMIC",67.0658082203054,1955.36704395927,998.535366835657,654.577976138536,282.513082970916,0.12138403639836
"71",3422,"OLD","SHOCK","AA","LGN","SAA","THALAMIC",73.0507354097403,2049.74952394145,1475.35429699746,1099.81940533553,333.327800091852,0.118359112306658
"72",3422,"OLD","SHOCK","AA","LH","SAA","HYPOTHAL",60.3539899041213,2158.30303491772,1697.38743860823,888.128149123797,335.560209764202,0.123783172621728
"73",3422,"OLD","SHOCK","AA","LSC","SAA","STRIATUM",266.808609150708,1040.97836897699,1350.33034624014,722.041859710592,102.82559166965,0.061935865456322
"74",3422,"OLD","SHOCK","AA","MA","SAA","CORTICO-AMY",54.3362697214196,2241.02479001175,1621.62210060951,799.035626413284,337.870005774833,0.125035602392481
"75",3422,"OLD","SHOCK","AA","MBm","SAA","MIDBRAIN",48.1447375216991,2318.40644488295,1520.06272222266,1197.74161562199,421.096929591199,0.136054918571533
"76",3422,"OLD","SHOCK","AA","MED","SAA","THALAMIC",150.809722766639,2243.24920153847,1104.36324695859,537.100651202633,234.027617980038,0.0919080919080919
"77",3422,"OLD","SHOCK","AA","MH","SAA","HYPOTHAL",230.310507408433,1868.84197598637,1377.66519639244,785.340268349575,244.617458953582,0.101519353385954
"78",3422,"OLD","SHOCK","AA","MoP","SAA","MOTOR CTX",70.9260260097446,1311.11855370379,768.537620127608,567.87246650468,160.33797846535,0.0932928139484916
"79",3422,"OLD","SHOCK","AA","MoS","SAA","MOTOR CTX",91.1702791140859,1467.43158511916,706.184514097474,471.257357038109,145.201186832874,0.0809602331556542
"80",3422,"OLD","SHOCK","AA","MTN","SAA","THALAMIC",139.395895372407,2614.77776074639,1431.11780191412,872.128209952438,460.568858917766,0.152186898519944
"81",3422,"OLD","SHOCK","AA","NLOT","SAA","OLFACTORY",180.571482447398,1477.97236500298,749.423840446427,222.322114227143,66.8010108475924,0.0408945686900959
"82",3422,"OLD","SHOCK","AA","OC","SAA","PFC",29.7785428925122,1596.46077173746,1367.33142781452,789.131386651575,186.943074825216,0.0850263355906699
"83",3422,"OLD","SHOCK","AA","ON","SAA","OLFACTORY",3.00112227087364,2716.01565514065,1353.50614416401,318.118960712606,192.071825335913,0.0675818373812037
"84",3422,"OLD","SHOCK","AA","OTub","SAA","OLFACTORY",24.1001146062545,1939.59397262576,776.577341602889,411.214021133939,121.780019270021,0.0546336881653097
"85",3422,"OLD","SHOCK","AA","PAG","SAA","MIDBRAIN",265.870711322571,1545.22470132849,1597.60519967861,1111.89512406842,244.442325633886,0.101315789473684
"86",3422,"OLD","SHOCK","AA","PALd","SAA","STRIATUM",217.309028501968,1931.99556915733,2015.80587069419,1658.39789831559,470.483386636353,0.150800303356883
"87",3422,"OLD","SHOCK","AA","PALm","SAA","STRIATUM",86.2603436822182,1688.24382062743,1220.65326797761,636.779806051354,189.574456460231,0.0887749795706113
"88",3422,"OLD","SHOCK","AA","PALv","SAA","STRIATUM",76.0590598798715,1797.28280441428,1207.45350085675,712.772340046769,163.60554337644,0.0697247208296381
"89",3422,"OLD","SHOCK","AA","PAN","SAA","CORTICO-AMY",1693.54769292175,484.725664758522,1026.30187044551,1157.95575470091,110.70894812386,0.0722656250000002
"90",3422,"OLD","SHOCK","AA","PERI","SAA","TEMP ASSOC CTX",115.388323327568,1785.31378037377,1230.09650855994,545.601578203193,177.356126596077,0.0823548867206877
