idBysubroi,grp,SUBROI,AREAmm2,Ch1mm2,Ch2mm2,Ch3mm2,Ch4mm2,OLmm2
9266,SAB,ATN,31.3026146,687.961702,667.452233,514.941011,362.078381,66.7036933
9272,SAA,ATN,4.72457122,665.457214,685.353199,335.691839,1418.54143,91.0135502
9275,SAB,ATN,42.4304733,937.203781,1019.05533,1005.85727,466.904997,42.1159572
9276,SAB,ATN,3.53456415,1098.57958,1511.0774,1033.50791,422.682949,44.4184893
9278,CAA,ATN,6.68644426,336.95039,883.578741,533.766507,604.955316,86.8922221
3425,SAA,AuD,5.25810612,266.445745,866.661855,691.313549,835.091552,169.452647
3426,SAA,AuD,8.60886095,421.77473,1541.31889,836.347577,1001.75854,240.333769
3429,SAA,AuD,10.021082,1510.61532,1684.64843,975.144204,891.32092,178.523637
3431,SAB,AuD,15.0723178,459.915991,1495.58948,737.577333,875.114241,202.689462
3433,SAB,AuD,16.6549557,688.023446,1978.08992,757.25209,829.002506,238.787786
3507,SAA,AuD,6.76521859,1475.7838,1716.27862,960.353301,1079.4921,264.293012
3508,SAA,AuD,7.45510895,1212.7254,1257.25862,788.318459,845.997026,206.703887
3531,SAB,AuD,9.2606419,851.344872,1751.49846,969.6952,874.561406,201.497911
3539,CAA,AuD,5.86639605,848.050482,1436.31625,970.101566,1129.99531,226.715003
3540,CAA,AuD,3.13634881,669.887224,2360.06912,455.3065,803.8009,240.406933
3541,CAA,AuD,5.48951646,229.164082,1515.43402,596.409543,986.061349,238.818849
3542,CAA,AuD,4.94136974,212.694061,1606.03242,612.583182,862.918628,165.743517
3595,SAA,AuD,8.11359538,995.982622,1603.11174,1004.73337,938.794658,181.054136
3596,CAB,AuD,3.78373377,719.395224,1789.50223,985.005877,733.138262,161.744995
3597,SAB,AuD,2.60738828,816.142352,1351.54401,764.74993,1099.1842,290.71236
3602,CAA,AuD,8.40688489,1399.21031,1277.76223,1172.37242,1401.82721,220.176679
3603,SAB,AuD,6.82533875,652.714857,1135.62129,995.994522,750.585457,165.413035
3604,SAB,AuD,9.6141546,577.585886,1262.72153,961.91505,763.769703,146.554748
3607,CAA,AuD,7.57440826,386.16878,1270.19823,754.382363,1287.09724,228.928774
3608,CAB,AuD,8.37109571,1115.14673,1507.32956,1091.85229,873.003995,226.374189
3661,CAA,AuD,17.1858659,754.748121,1356.34714,927.099053,1232.34989,271.793113
3662,CAB,AuD,11.3079332,1058.99104,950.571583,969.231049,1398.04504,211.709775
3663,CAB,AuD,5.56716833,459.838799,1449.21072,639.46333,989.012667,267.640551
3664,CAB,AuD,9.59770535,592.745848,1818.03873,669.222462,1140.68932,262.562759
3858,CAB,AuD,6.25593933,685.908187,1265.99693,768.389805,943.263624,161.766275
8056,SAA,AuD,10.8176449,748.869101,1077.22153,673.806552,1335.78058,140.603617
8060,SAA,AuD,11.5803314,102.069618,413.114258,463.803653,429.435034,38.8589916
8061,SAA,AuD,18.0030434,559.072139,401.654311,304.115247,1197.07538,82.2638687
8350,SAB,AuD,24.9034955,506.194001,344.570103,362.720166,1246.49168,74.3670704
8351,SAB,AuD,6.96774357,870.296092,1144.4164,681.99984,333.249922,31.5740667
8352,SAB,AuD,6.08140174,1100.56863,1308.08658,1037.9186,778.438953,38.9712784
8358,CAA,AuD,2.21999611,172.072374,382.433103,690.992203,753.604926,16.6666959
8364,CAB,AuD,1.19098037,135.182749,666.677655,526.45704,1195.65363,146.93777
8365,CAB,AuD,1.55038668,967.500571,593.40035,822.375486,755.940446,40.635024
8487,CAB,AuD,0.632636294,665.469249,3213.53678,1512.71751,1531.68575,260.813364
8488,CAB,AuD,1.54276326,534.754762,597.628958,432.98931,345.483985,47.3176941
8489,CAB,AuD,1.89491671,1125.11541,922.995711,746.734666,1132.5036,111.878268
8492,CAB,AuD,3.58584465,163.699228,582.289587,357.516883,387.914184,22.3099459
8753,SAB,AuD,8.04087305,55.5909784,671.071408,378.565857,325.462171,43.1545179
9204,CAB,AuD,1.69726131,853.139109,532.033574,627.481458,632.194933,29.4592234
9214,CAA,AuD,0.877894258,963.669591,760.911686,355.395877,500.060225,37.5899486
9221,CAA,AuD,3.44211134,135.091505,429.96866,279.770148,321.604937,11.911294
9222,CAA,AuD,5.08278435,300.032402,756.671881,460.57433,421.029076,15.149177
9224,CAA,AuD,5.87982853,645.767131,1160.06784,400.351811,386.06568,24.6605831
9228,SAA,AuD,3.22696727,348.624546,1362.88956,610.170428,156.803574,12.3955394
9229,SAA,AuD,13.3797262,322.428122,1207.72277,850.166872,618.622523,59.8666958
9265,CAA,AuD,4.54984451,204.182802,1203.33783,546.392299,765.960242,113.190681
9266,SAB,AuD,3.4323322,343.206872,592.891329,481.014046,271.535488,27.6779736
9272,SAA,AuD,4.94809982,1208.14054,1171.15665,1162.06225,1282.31043,117.014616
9275,SAB,AuD,5.2215097,1092.40437,1117.87593,595.804696,211.050072,6.12849575
9276,SAB,AuD,1.7705095,1343.11621,829.704671,420.218023,104.489696,7.34251921
9278,CAA,AuD,6.54132404,366.133827,645.129331,353.29239,409.702987,26.6001193
3425,SAA,AuP,5.24256098,339.528716,944.004279,861.029565,966.703109,181.399893
3426,SAA,AuP,12.1234655,480.803116,1783.56593,765.952605,918.549237,250.175991
3429,SAA,AuP,14.298104,1516.14508,1576.64261,976.42317,788.216398,164.986911
3431,SAB,AuP,18.614241,583.155662,1730.66418,775.32036,814.483923,221.335912
3433,SAB,AuP,24.4920137,764.085805,1874.12111,860.688723,823.207117,234.198791
3507,SAA,AuP,9.52174176,1586.36942,1834.64333,931.867323,1019.14127,262.241937
3508,SAA,AuP,9.79191346,1322.11136,1222.74365,766.346642,790.856663,192.812162
3531,SAB,AuP,13.463304,944.790371,1885.79267,1007.18219,831.742341,202.104921
3539,CAA,AuP,8.31439518,891.22538,1416.69956,1131.53149,1083.06134,220.581288
3540,CAA,AuP,4.29582222,777.499586,2808.30988,405.277479,723.493627,241.397327
3541,CAA,AuP,7.80184544,358.761273,1689.47207,660.356583,1062.05641,265.193667
3542,CAA,AuP,7.0942696,206.786616,2120.72572,514.640718,787.677987,208.337163
3595,SAA,AuP,12.3697737,928.311246,1606.17329,994.2785,862.343992,189.575013
3596,CAB,AuP,5.21896959,806.289428,1993.88018,1000.77226,760.494947,202.338792
3597,SAB,AuP,4.25718541,876.87043,1411.73086,730.529611,1082.87508,278.822716
3602,CAA,AuP,10.6184257,1515.00801,1259.97962,1087.07263,1212.70331,210.012299
3603,SAB,AuP,9.66357152,738.443337,1287.82614,1082.6225,718.781869,179.436764
3604,SAB,AuP,13.0064185,696.19473,1471.88867,1039.94809,735.329254,185.062475
3607,CAA,AuP,9.66842572,404.822885,1465.59537,750.070405,1290.28245,271.088601
3608,CAB,AuP,11.9632691,1253.33635,1914.35968,1228.76112,885.125954,256.53523
3661,CAA,AuP,20.411517,864.217981,1306.71326,854.566567,1081.98719,237.561961
3662,CAB,AuP,16.3559279,1126.19719,846.054111,911.168118,1374.60866,197.237358
3663,CAB,AuP,7.73122962,539.241518,1637.38508,636.509357,885.758195,247.179309
3664,CAB,AuP,13.8082477,683.070019,1878.65981,647.801243,1100.28444,249.995516
3858,CAB,AuP,9.07436628,869.812807,1197.87979,887.885694,1013.6245,148.109516
8056,SAA,AuP,15.2774521,706.465967,1144.43167,640.290011,1186.06164,139.028418
8060,SAA,AuP,19.6983304,129.706424,389.271569,504.712825,450.495032,30.0533084
8061,SAA,AuP,29.77865,605.668827,548.816014,256.324582,1272.3881,83.8856026
8350,SAB,AuP,42.117092,577.603981,384.451994,344.373254,1247.16588,72.6545888
8351,SAB,AuP,11.0541923,935.663112,1457.09424,716.470255,262.796223,29.8529273
8352,SAB,AuP,8.14711198,1187.53738,1312.73512,1038.52752,783.713298,43.6964658
8358,CAA,AuP,3.29266584,141.222955,298.238584,579.469673,779.004042,14.8815587
8364,CAB,AuP,1.45052879,98.5847377,694.91899,535.666722,1054.78775,148.911212
8365,CAB,AuP,2.72160889,1013.7386,766.090972,670.559244,753.230931,34.5383939
8487,CAB,AuP,1.08765672,672.08705,2844.64752,1232.92577,981.008048,133.314121
8488,CAB,AuP,2.64821771,581.523187,676.303914,334.942251,374.213947,33.6075089
8489,CAB,AuP,2.61647549,1166.83684,767.062412,829.74215,1379.33644,107.014188
8492,CAB,AuP,5.46089096,165.174512,596.605943,311.121393,274.863573,10.4378572
8753,SAB,AuP,13.2658408,65.0543009,588.579353,420.101528,343.815372,42.6659726
9204,CAB,AuP,2.69662443,863.301532,495.063378,487.275865,513.605078,43.016743
9214,CAA,AuP,1.42627622,1005.41534,514.626822,313.403528,480.271626,26.6428055
9221,CAA,AuP,5.59653495,153.845193,471.54177,224.067215,299.828378,12.1503753
9222,CAA,AuP,7.27983178,278.577866,676.526622,335.584678,336.271507,14.560776
9224,CAA,AuP,8.58089508,607.046229,1308.60474,421.517798,398.909434,24.0068196
9228,SAA,AuP,4.85878064,362.642427,1877.42578,748.335904,114.432003,12.7604032
9229,SAA,AuP,21.3409885,344.969962,1328.89814,816.316451,638.817644,49.6228185
9265,CAA,AuP,7.23533979,259.144706,1528.88466,515.801622,597.207613,78.64178
9266,SAB,AuP,5.30924362,378.773352,739.276681,534.72777,253.896807,35.5982911
9272,SAA,AuP,7.71865359,1294.7854,1163.15623,1115.47952,1562.57822,124.374023
9275,SAB,AuP,8.39773925,1098.1527,1201.15661,608.735262,254.59233,7.14478007
9276,SAB,AuP,2.70393572,1349.88416,1105.79552,464.508084,128.331453,6.65696299
9278,CAA,AuP,10.742141,355.050263,623.06015,216.4373,300.033298,12.6604184
3425,SAA,AuV,6.03197712,271.221188,1741.07097,869.366692,934.851026,208.389384
3426,SAA,AuV,9.0339274,576.272065,2010.39616,899.387348,861.197977,245.740297
3429,SAA,AuV,20.1644539,973.34647,796.737242,647.87274,666.816968,144.065394
3431,SAB,AuV,19.3165905,535.498229,1774.80761,788.493187,899.43409,195.738477
3433,SAB,AuV,11.3899012,729.505892,1596.80966,942.238203,810.366997,209.48382
3507,SAA,AuV,13.5744171,1357.48002,1252.36448,960.851568,1000.26394,203.102643
3508,SAA,AuV,10.6051901,1399.78632,570.261997,942.085897,845.717987,176.328759
3531,SAB,AuV,10.4018655,769.95804,1177.33346,962.615789,848.59778,190.446607
3539,CAA,AuV,8.86438086,599.25223,951.808522,881.95669,994.090861,189.748165
3540,CAA,AuV,8.39900008,599.357061,1020.56566,427.19371,829.265381,198.356945
3541,CAA,AuV,10.9125748,192.071994,1204.45598,557.430316,1041.82562,247.512623
3542,CAA,AuV,13.2142051,114.876376,1534.73893,403.429487,716.577343,143.179252
3595,SAA,AuV,11.0289788,818.933483,1480.20028,1210.8102,1210.35685,239.369397
3596,CAB,AuV,4.65425831,860.717161,1472.57543,1181.92838,1004.02678,243.8627
3597,SAB,AuV,2.15109164,962.766981,1999.14413,1263.07962,1673.56887,360.747068
3602,CAA,AuV,6.41656779,1513.73761,578.240812,1243.81137,1244.59061,184.678171
3603,SAB,AuV,6.607284,934.877326,1735.80655,1647.12157,861.927533,163.910012
3604,SAB,AuV,12.388188,562.552007,2077.55132,806.171172,658.046199,154.340571
3607,CAA,AuV,10.3923432,422.233939,722.752738,791.544299,1217.81968,259.999112
